,Cost
1752,0.5252503260232676
1756,0.5248853432778481
1760,0.524521729202307
1764,0.5241594754672709
1768,0.5237985738127491
1772,0.5234390160474046
1776,0.5230807940478319
1780,0.5227238997578464
1784,0.5223683251877805
1788,0.5220140624137898
1792,0.5216611035771681
1796,0.5213094408836704
1800,0.5209590666028451
1804,0.5206099730673733
1808,0.5202621526724182
1812,0.5199155978749808
1816,0.5195703011932646
1820,0.5192262552060483
1824,0.5188834525520654
1828,0.5185418859293919
1832,0.5182015480948425
1836,0.5178624318633719
1840,0.5175245301074863
1844,0.5171878357566597
1848,0.5168523417967588
1852,0.5165180412694739
1856,0.5161849272717577
1860,0.5158529929552704
1864,0.5155222315258314
1868,0.5151926362428776
1872,0.5148642004189286
1876,0.5145369174190585
1880,0.5142107806603734
1884,0.5138857836114947
1888,0.5135619197920509
1892,0.5132391827721727
1896,0.5129175661719956
1900,0.5125970636611683
1904,0.512277668958367
1908,0.5119593758308142
1912,0.5116421780938054
1916,0.5113260696102396
1920,0.511011044290156
1924,0.5106970960902756
1928,0.5103842190135497
1932,0.5100724071087114
1936,0.5097616544698342
1940,0.5094519552358953
1944,0.5091433035903427
1948,0.50883569376067
1952,0.5085291200179924
1956,0.5082235766766321
1960,0.5079190580937039
1964,0.5076155586687092
1968,0.5073130728431328
1972,0.5070115951000442
1976,0.506711119963705
1980,0.5064116419991789
1984,0.5061131558119474
1988,0.5058156560475299
1992,0.5055191373911068
1996,0.5052235945671485
